timeHMS,emotion_level,subject
2020-11-11 15:15:18,3,B
2020-11-11 15:15:24,2,D
2020-11-11 15:15:40,2,A
2020-11-11 15:15:50,2,D
2020-11-11 15:16:04,1,D
2020-11-11 15:16:17,4,A
2020-11-11 15:16:39,2,A
2020-11-11 15:17:33,2,B
2020-11-11 15:17:49,2,A
2020-11-11 15:18:17,2,B
2020-11-11 15:18:51,3,B
2020-11-11 15:19:58,2,B
2020-11-11 15:20:28,2,A
2020-11-11 15:21:45,2,B
2020-11-11 15:22:25,3,D
2020-11-11 15:22:31,1,B
2020-11-11 15:22:44,1,A
2020-11-11 15:23:10,4,D
2020-11-11 15:23:47,3,B
2020-11-11 15:24:22,2,B
2020-11-11 15:24:37,2,A
2020-11-11 15:24:50,2,D
2020-11-11 15:24:54,4,B
2020-11-11 15:25:22,3,A
2020-11-11 15:25:46,3,B
2020-11-11 15:26:20,3,D
2020-11-11 15:26:42,-1,B
2020-11-11 15:27:14,2,D
2020-11-11 15:28:20,3,B
2020-11-11 15:28:32,3,B
2020-11-11 15:28:48,2,D
2020-11-11 15:29:09,4,A
2020-11-11 15:29:28,1,B
