timeHMS,emotion_level,subject
2020-11-11 15:15:24,4,D
2020-11-11 15:15:39,2,A
2020-11-11 15:15:49,2,D
2020-11-11 15:15:56,2,C
2020-11-11 15:16:04,1,D
2020-11-11 15:16:14,2,A
2020-11-11 15:16:39,3,A
2020-11-11 15:17:07,3,C
2020-11-11 15:17:49,4,A
2020-11-11 15:18:29,3,C
2020-11-11 15:19:14,2,C
2020-11-11 15:20:29,2,A
2020-11-11 15:21:24,3,A
2020-11-11 15:21:59,2,D
2020-11-11 15:22:09,4,C
2020-11-11 15:22:22,4,D
2020-11-11 15:22:44,2,A
2020-11-11 15:23:09,2,D
2020-11-11 15:23:31,3,C
2020-11-11 15:24:34,3,A
2020-11-11 15:24:47,2,D
2020-11-11 15:25:09,3,A
2020-11-11 15:26:17,3,D
2020-11-11 15:26:26,4,C
2020-11-11 15:26:42,3,D
2020-11-11 15:27:00,3,A
2020-11-11 15:27:11,3,D
2020-11-11 15:27:30,3,C
2020-11-11 15:28:32,4,C
2020-11-11 15:28:47,3,D
2020-11-11 15:29:08,4,A
2020-11-11 15:29:14,4,C
2020-11-11 15:29:45,3,C
