uts,value,time
1605098746,76,2020/11/11 12:45
1605098749,76,2020/11/11 12:45
1605098750,75,2020/11/11 12:45
1605098753,75,2020/11/11 12:45
1605098755,74,2020/11/11 12:45
1605098757,75,2020/11/11 12:45
1605098760,76,2020/11/11 12:46
1605098762,75,2020/11/11 12:46
1605098765,75,2020/11/11 12:46
1605098768,75,2020/11/11 12:46
1605098771,75,2020/11/11 12:46
1605098773,74,2020/11/11 12:46
1605098775,73,2020/11/11 12:46
1605098778,72,2020/11/11 12:46
1605098781,72,2020/11/11 12:46
1605098784,72,2020/11/11 12:46
1605098785,73,2020/11/11 12:46
1605098788,72,2020/11/11 12:46
1605098790,73,2020/11/11 12:46
1605098791,74,2020/11/11 12:46
1605098792,75,2020/11/11 12:46
1605098794,76,2020/11/11 12:46
1605098796,77,2020/11/11 12:46
1605098798,78,2020/11/11 12:46
1605098800,79,2020/11/11 12:46
1605098803,79,2020/11/11 12:46
1605098804,78,2020/11/11 12:46
1605098805,78,2020/11/11 12:46
1605098808,78,2020/11/11 12:46
1605098811,78,2020/11/11 12:46
1605098812,78,2020/11/11 12:46
1605098815,78,2020/11/11 12:46
1605098816,79,2020/11/11 12:46
1605098819,79,2020/11/11 12:46
1605098820,80,2020/11/11 12:47
1605098823,80,2020/11/11 12:47
1605098824,80,2020/11/11 12:47
1605098827,80,2020/11/11 12:47
1605098828,79,2020/11/11 12:47
1605098829,78,2020/11/11 12:47
1605098830,78,2020/11/11 12:47
1605098831,77,2020/11/11 12:47
1605098832,76,2020/11/11 12:47
1605098833,76,2020/11/11 12:47
1605098836,76,2020/11/11 12:47
1605098839,76,2020/11/11 12:47
1605098840,75,2020/11/11 12:47
1605098843,75,2020/11/11 12:47
1605098846,75,2020/11/11 12:47
1605098849,75,2020/11/11 12:47
1605098850,74,2020/11/11 12:47
1605098853,74,2020/11/11 12:47
1605098855,73,2020/11/11 12:47
1605098858,73,2020/11/11 12:47
1605098859,74,2020/11/11 12:47
1605098862,73,2020/11/11 12:47
1605098865,73,2020/11/11 12:47
1605098866,72,2020/11/11 12:47
1605098867,73,2020/11/11 12:47
1605098868,73,2020/11/11 12:47
1605098871,73,2020/11/11 12:47
1605098874,73,2020/11/11 12:47
1605098876,74,2020/11/11 12:47
1605098879,74,2020/11/11 12:47
1605098881,75,2020/11/11 12:48
1605098884,75,2020/11/11 12:48
1605098887,75,2020/11/11 12:48
1605098890,74,2020/11/11 12:48
1605098891,75,2020/11/11 12:48
